nmax	nmax_var	var	E	b
00	20	3410.1141084374854	31.35242747858427	0.11
02	20	1873.3257781106058	12.813876505098577	0.11
04	20	1289.9475130970184	5.814014478561028	0.11
06	20	981.2681599486435	2.1380322630201003	0.11
08	20	789.6377096616168	-0.12223280119053519	0.11
10	20	658.7400576413884	-1.6484481665034705	0.11
12	20	563.4205396011243	-2.74511553658983	0.11
14	20	490.7468401382207	-3.5687994029099483	0.11
16	20	433.38844029562847	-4.20825870170191	0.11
18	20	386.87951707657083	-4.717575297658948	0.11
20	20	0.0000000000000000	-5.131585343148334	0.11
